date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2014-04-01,153.6304,15.7494,47.7947,14.2631,27.8988,32.1579,29.9285,42.7266,18.7236,14.6467,,
2014-05-01,157.1957,16.3414,49.1681,14.4774,28.7029,32.7394,30.4297,43.5484,19.2774,14.4874,,
2014-06-02,160.4407,16.6468,50.2112,14.8282,29.2594,32.6565,32.1073,43.7552,19.5888,15.1309,,
2014-07-01,158.2847,16.9289,50.2772,14.613,28.8867,31.5733,30.9942,41.9503,19.1982,14.1019,,
2014-08-01,164.5312,17.4846,52.7122,15.2324,30.1713,33.0298,31.671,43.7229,19.94,14.7959,,
2014-09-02,162.2614,17.3942,52.9416,15.171,29.3353,33.2243,29.2162,43.2216,19.6598,14.5187,,
2014-10-01,166.0828,17.6732,55.7249,15.6097,29.9555,34.4027,28.1845,44.8968,19.188,15.6846,,
2014-11-03,170.6455,18.5233,57.6633,15.9764,31.5874,36.3103,25.7342,46.2793,19.4893,15.8675,,
2014-12-01,170.2126,18.12,56.8541,16.2752,31.8686,35.9705,25.6801,46.2693,19.3806,16.4335,,
2015-01-02,165.1693,17.4846,57.5941,15.1432,30.9145,35.6219,24.509,44.6256,19.0255,16.8163,,
2015-02-02,174.4525,18.8825,60.0634,16.0251,33.5558,37.0981,25.6347,47.0134,20.5415,15.7409,,
2015-03-02,171.7125,18.2338,60.4482,15.9263,33.3938,36.3774,25.3385,45.8165,19.5339,15.5843,,
2015-04-01,173.4011,18.7354,59.7887,15.9395,33.376,36.1012,27.0042,45.7014,20.1907,15.5106,,
2015-05-01,175.6304,19.083,62.4826,16.2501,33.8148,36.4147,25.6031,45.8493,20.2667,15.6088,,
2015-06-01,172.063,18.2982,62.2377,16.1751,34.0023,35.7467,24.7111,44.6322,19.4662,14.6748,,
2015-07-01,175.9498,18.8197,64.0783,16.7258,35.665,37.7819,22.8108,44.7642,18.4846,15.5703,,
2015-08-03,165.2256,17.781,58.9748,15.5448,33.3354,35.5289,21.8409,42.3452,17.4427,15.0287,,
2015-09-01,161.0101,17.5371,55.6115,15.1075,33.1397,35.6674,20.2698,41.4119,16.1482,15.4672,,
2015-10-01,174.7056,19.3796,59.9023,16.0542,36.1342,37.7006,22.532,45.0476,18.3164,15.6315,,
2015-10-08,174.7056,19.3796,59.9023,16.0542,36.1342,37.7006,22.532,45.0476,18.3164,15.6315,21.5582,
2015-11-02,175.3441,19.5173,59.7092,16.3743,36.0494,37.3529,22.5287,45.4377,18.4984,15.2992,21.4189,
2015-12-01,172.3134,19.1111,60.7379,15.987,35.0248,38.4428,20.1594,44.2689,17.6955,15.6235,21.9614,
2016-01-04,163.7345,18.4016,56.0495,14.5715,33.2096,38.6484,19.4542,41.7469,15.8005,16.396,20.5571,
2016-02-01,163.5992,18.2811,55.8465,14.1489,33.3575,38.7702,18.9095,43.5256,17.0353,16.7136,20.6557,
2016-03-01,174.6035,19.8938,57.3592,15.1618,35.5916,40.6072,20.8319,46.5609,18.3256,18.0468,22.8653,
2016-04-01,175.2917,18.8938,59.0608,15.7076,35.6366,40.0256,22.7202,47.1401,19.2621,17.6104,22.3107,
2016-05-02,178.2737,19.8176,60.3803,16.0042,35.6546,40.3011,22.5082,46.9386,19.1966,17.8759,22.6946,
2016-06-01,178.8937,19.5445,60.925,15.4868,35.2483,42.4607,23.1207,47.2734,19.0462,19.2394,24.0791,
2016-07-01,185.4182,20.9325,63.8946,16.0219,36.8558,42.1142,22.8293,48.9867,20.012,19.1111,24.859,
2016-08-01,185.6402,21.1759,61.8214,16.6385,36.3771,41.8678,23.2122,49.451,19.9586,18.0514,23.9286,
2016-09-01,185.6511,21.621,61.5063,16.1723,36.2801,41.2207,24.0681,49.543,19.7269,18.1166,23.6151,
2016-10-03,182.4324,21.4581,57.4548,16.541,35.4008,40.9031,23.3898,48.5501,19.3138,18.2793,22.3035,
2016-11-01,189.153,21.4943,58.6404,18.8621,37.1006,39.1833,25.3702,52.963,20.6317,17.2882,21.6261,
2016-12-01,192.9874,21.98,59.0604,19.5706,37.1151,40.3575,25.8094,53.1251,20.6682,18.1352,22.5664,
2017-01-03,196.4408,22.7617,60.414,19.6211,38.679,41.0443,24.9802,54.1155,21.608,18.3629,22.537,
2017-02-01,204.1593,23.7935,64.2434,20.6565,39.3812,43.0032,24.4593,56.233,21.7286,19.33,23.5864,
